"BibNumber","MinutesStartAfterNine","FinishMinutes"
446,60.35,159.24
447,60.35,194.53
448,60.32,162.92
449,60.32,155.43
452,82.97,244.32
453,60.13,161.08
455,60.25,160.16
456,60.07,159.67
458,60.18,162.2
459,60.27,166.15
460,60.13,156.03
461,60.45,177.39
462,60.18,164.48
463,60.28,164.99
464,60.22,169.37
465,60.17,164.87
466,60.8,173.41
467,60.42,NA
468,60.33,161.51
469,60.23,163.3
470,60.13,158.91
471,60.98,166.02
472,60.18,165.16
473,60.38,165.87
474,60.33,162
476,60.33,158.37
477,60.38,163.73
478,60.15,158
479,60.23,165.89
480,60.1,162.25
483,60.35,166.05
484,60.15,162.91
485,60.13,164.61
487,61.67,177.2
488,60.33,159.14
489,60.22,164.79
491,60.32,200.14
492,60.33,159.74
493,60.17,173.12
494,82.33,193.57
496,60.1,161.76
497,60.43,178.51
498,60.18,161.98
499,60.38,162.41
501,60.37,167.82
503,60.32,154.54
504,60.27,168.04
505,60.75,159.64
507,60.13,200.61
508,60.45,175.85
510,60.37,160.05
511,60.27,158.07
513,60.2,158.6
514,60.5,203.53
516,60.43,175.98
517,60.07,162.42
520,60.27,160.24
521,60.15,159.3
522,83.75,NA
523,60.13,164.29
524,60.2,157.21
525,60.25,188.78
526,60.32,166.86
527,60.38,158.57
528,60.23,166.29
529,60.23,159.52
530,60.18,170.13
531,60.43,180.69
532,60.33,167.44
534,60.32,160.32
536,60.18,168.11
537,60.07,166.92
538,110.53,226.51
539,60.22,178.17
540,60.43,169.31
541,60.42,179.04
542,60.28,158.18
544,60.18,162.21
545,60.45,NA
546,60.32,165.56
547,60.37,157.86
548,60.18,NA
549,60.23,167.03
550,60.27,169.85
552,60.2,170.47
554,60.45,184.54
556,60.13,168.85
557,60.33,169.35
558,60.22,166.73
559,60.25,165.68
561,60.2,159.21
563,60.32,183.67
564,63.92,200.15
565,60.07,164.26
566,60.28,164.7
567,60.23,162.41
568,60.28,169.24
569,60.3,249.8
570,60.08,157.86
571,60.13,166.81
572,60.12,NA
574,60.25,160.3
575,60.08,176.42
576,60.35,167.27
577,60.45,193.04
578,60.38,175.95
579,60.48,195.37
580,60.38,168.88
581,60.27,165.31
582,60.13,152.75
583,60.27,168.39
584,60.18,167.24
585,60.17,231.76
587,60.12,164.55
588,60.18,153.87
592,60.15,149.82
593,60.08,161.87
594,60.07,162.32
596,60.3,163.6
597,60.4,176.48
598,60.2,163.02
599,60.5,219.26
600,60.27,172.85
603,60.37,155.78
604,60.38,162.77
606,60.45,181.45
607,60.22,161.98
608,60.18,165.41
610,60.32,166.92
612,60.25,167.8
614,60.27,166.66
615,61.5,187.14
616,60.35,165.2
618,60.47,163.71
620,60.43,168.31
621,60.12,161.03
622,60.3,175.53
623,60.17,163.28
624,60.42,171.64
626,60.42,176.74
627,60.37,166.6
628,61.65,279.74
629,60.33,167.12
630,60.22,161.63
632,60.4,171.43
633,60.35,162.79
635,60.25,170.47
636,62.7,NA
637,60.32,154.27
638,60.15,NA
639,60.3,162.78
640,60.28,166.92
641,60.17,170.91
642,60.08,165.76
643,60.27,172.76
644,60.35,161.52
645,60.63,159.27
646,60.27,169.32
647,60.4,174.68
649,60.43,167.76
651,60.08,154.84
652,60.32,169.04
653,60,252.01
654,60.07,165.46
655,60.35,156.42
657,60.22,162.8
658,62.95,203.36
659,60.43,164.55
660,60.32,164.71
661,60.07,172.21
662,60.12,187.12
663,60.15,190.91
664,60.32,174.61
665,60.1,164.88
666,61.65,174.2
667,60.23,166.01
668,60.35,165.3
669,60.4,176.38
670,60.3,235.4
672,60.25,169.75
673,60.47,168.36
675,60.23,173.35
676,60.17,155.66
677,60.3,172.06
679,60.17,164.34
680,60.38,162.88
681,60.22,163.27
683,60.15,179.19
684,60.27,168.8
685,60.4,162.32
687,60.28,161.99
689,85.2,236.52
690,60.17,164.16
691,60.28,177.28
692,60.3,183.95
693,60.4,163.38
695,60.37,158.07
696,60.1,NA
697,60.23,168.42
699,60.38,165.33
700,60.12,161.6
701,60.33,166.32
702,60.22,161.21
703,60.33,177.13
704,60.42,169.41
705,60.35,167.96
706,60.22,171.46
707,60.32,NA
708,61.33,190.34
709,60.18,220.41
710,60.27,162.48
711,60.33,180.76
712,60.37,164.58
714,60.27,169.99
716,60.35,173.96
717,60.42,203.22
718,60.28,165.63
719,60.77,161.04
720,60.77,166.98
721,60.4,179.97
722,63.47,177.13
723,60.3,162.46
724,60.38,168.71
726,60.27,174.21
728,60.18,193.47
729,60.35,172.18
731,60.12,162.64
732,60.48,162.66
734,60.35,169.57
737,60.32,171.44
738,60.4,169.89
739,60.22,168.82
740,60.18,162.52
741,60.28,157.93
742,60.33,189.33
743,60.15,168.24
745,60.13,171.09
747,60.1,172.28
749,60.18,186.44
750,60.27,164.99
751,61.05,178.52
752,60.3,167.66
753,64.18,196.47
754,60.78,168.84
755,80.42,200.58
756,60.18,160.37
758,60.23,170.67
760,60.2,165.02
762,60.25,168.02
763,60.3,181.19
764,60.33,158.18
765,60.13,159.43
766,60.45,162.48
767,62.77,178.67
768,60.27,176.06
769,60.48,178.95
770,60.35,180.17
771,60.4,165.34
772,60.42,184.02
773,60.42,165.71
774,60.23,178.01
775,60.18,163.85
776,60.47,166.42
777,60.4,171.17
778,60.25,170.21
779,60.27,179.17
780,60.22,178.47
781,60.15,155.8
782,60.52,171.61
783,60.48,189.78
784,60.33,159.56
785,60.25,167.13
786,60.42,182.16
787,60.27,182.73
788,60.48,174.98
789,60.22,226.88
790,60.17,163.74
791,60.45,175.44
792,60.15,177.73
793,60.35,169.57
795,60.1,170.41
796,60.38,166.17
797,60.45,181.34
798,60.18,277.66
799,60.13,184.8
800,60.18,188.76
801,60.07,162.32
802,60.2,177.97
803,60.12,200.27
804,60.18,168.17
805,86.35,NA
806,60.25,177.55
807,60.38,171.54
809,60.48,180.65
810,60.22,163.94
811,60.33,167.23
812,60.4,163.81
813,60.1,169.96
815,60.37,173.97
816,60.4,169.26
818,60.42,163.88
819,60.38,170.35
820,60.38,NA
821,60.23,166.87
822,60.33,218.04
823,60.33,204.83
824,60.28,162.94
825,60.3,170.46
826,60.43,167.39
827,60.25,166.31
830,60.3,157.07
831,60.28,162.74
832,60.42,195.26
834,60.23,169.69
835,60.37,164.59
836,60.3,161.9
837,60.37,165.42
838,60.25,170.96
839,60.38,168.55
840,60.33,180.48
841,60.47,164.92
842,60.27,167.25
845,60.2,171.1
846,60.23,174.78
847,100.05,208.82
848,60.2,178.69
849,60,173.2
850,60.07,174.15
852,60.08,175.11
853,60.3,164.63
854,60.38,168.98
855,60.32,169
857,60.1,167.09
858,60.32,177.68
859,60.22,157.71
860,60.42,205.32
862,60.28,178.05
863,60.43,176.39
865,60.25,167.78
867,60.4,175.61
868,60.43,161.53
869,60.08,169.57
870,60.45,179.79
871,60.32,174.41
872,60.47,181.47
873,60.32,163.52
875,60.35,171.86
876,62.83,180.39
878,60.38,170.69
879,60.28,176.93
880,60.13,166.74
881,60.5,170.82
883,60.35,175.87
884,60.2,157.75
885,60.33,172.91
886,60.15,242.72
887,60.4,163.87
